Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [20/Apr/2022 05:05:55] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //channels/create/v2 HTTP/1.1" 403 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //channels/create/v2 HTTP/1.1" 403 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //channels/create/v2 HTTP/1.1" 403 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/logout/v1 HTTP/1.1" 403 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/passwordreset/request/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:05:55] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:06:01] "POST //auth/passwordreset/request/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:06:04] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:06:04] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:06:04] "POST //auth/passwordreset/reset/v1 HTTP/1.1" 400 -
127.0.0.1 - - [20/Apr/2022 05:06:04] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:06:04] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:06:08] "POST //auth/passwordreset/request/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:06:11] "POST //auth/passwordreset/reset/v1 HTTP/1.1" 400 -
127.0.0.1 - - [20/Apr/2022 05:06:11] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:06:11] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:06:11] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:06:11] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:06:11] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:06:16] "POST //auth/passwordreset/request/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:06:20] "POST //auth/passwordreset/reset/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 05:06:20] "POST //auth/login/v2 HTTP/1.1" 200 -
